{'Ensemble': 1.0788665859571371, 'Selective Ensemble': 1.0921674939822332, 'Self-(in)consistency': 1.020519111899023, 'Binomial NLL': 0.39163728848787455, 'dataset': 'ACS'}
{'Ensemble': 0.9949539671545992, 'Selective Ensemble': 1.0026553286941542, 'Self-(in)consistency': 0.930584076916698, 'Binomial NLL': 0.378594107153324, 'dataset': 'ACS'}
{'Ensemble': 1.0395295640276387, 'Selective Ensemble': 1.035347704251668, 'Self-(in)consistency': 0.9869734635291981, 'Binomial NLL': 0.3881795579470121, 'dataset': 'ACS'}
{'Ensemble': 1.0792269582046339, 'Selective Ensemble': 1.0846449738110866, 'Self-(in)consistency': 1.0192094914911154, 'Binomial NLL': 0.3979935244075381, 'dataset': 'ACS'}
{'Ensemble': 0.8882983778723459, 'Selective Ensemble': 0.895884654785483, 'Self-(in)consistency': 0.8444951539148551, 'Binomial NLL': 0.30995851350405584, 'dataset': 'Adult'}
{'Ensemble': 0.9336645128478019, 'Selective Ensemble': 0.9098877022670968, 'Self-(in)consistency': 0.8578946374385542, 'Binomial NLL': 0.31745253044065763, 'dataset': 'Adult'}
{'Ensemble': 0.8912523855646736, 'Selective Ensemble': 0.866109535743739, 'Self-(in)consistency': 0.8285162688863059, 'Binomial NLL': 0.30764830395828513, 'dataset': 'Adult'}
{'Ensemble': 0.8922047709046892, 'Selective Ensemble': 0.8703333392864594, 'Self-(in)consistency': 0.8242251784026585, 'Binomial NLL': 0.3052845180024341, 'dataset': 'Adult'}
{'Ensemble': 0.8464713274071513, 'Selective Ensemble': 0.8139926782766246, 'Self-(in)consistency': 0.7572206468072292, 'Binomial NLL': 0.2985745658549223, 'dataset': 'Adult'}
{'Ensemble': 0.9032966685013005, 'Selective Ensemble': 0.8769621569286026, 'Self-(in)consistency': 0.8014114100149475, 'Binomial NLL': 0.3096194904130786, 'dataset': 'Adult'}
{'Ensemble': 0.90739984960382, 'Selective Ensemble': 0.8993378163573778, 'Self-(in)consistency': 0.8312006406298155, 'Binomial NLL': 0.3074055673261088, 'dataset': 'Adult'}
{'Ensemble': 0.9187681534794515, 'Selective Ensemble': 0.8871488852205942, 'Self-(in)consistency': 0.8340209734349441, 'Binomial NLL': 0.30648216891718744, 'dataset': 'Adult'}
{'Ensemble': 0.8821819195975619, 'Selective Ensemble': 0.8664029706605675, 'Self-(in)consistency': 0.8137171232455509, 'Binomial NLL': 0.3004473976883574, 'dataset': 'Adult'}
{'Ensemble': 0.9331073628071178, 'Selective Ensemble': 0.9062469549205143, 'Self-(in)consistency': 0.8460519967325462, 'Binomial NLL': 0.30968271607595904, 'dataset': 'Adult'}
{'Ensemble': 0.4941994345473326, 'Selective Ensemble': 0.4967320475216825, 'Self-(in)consistency': 0.42315165938562915, 'Binomial NLL': 0.19940831333248538, 'dataset': 'Bank'}
{'Ensemble': 0.5350510694737965, 'Selective Ensemble': 0.5399747864626855, 'Self-(in)consistency': 0.44942823291658274, 'Binomial NLL': 0.20317547918758888, 'dataset': 'Bank'}
{'Ensemble': 0.5016876040106536, 'Selective Ensemble': 0.5137359002651961, 'Self-(in)consistency': 0.43456054886621603, 'Binomial NLL': 0.20049166986193398, 'dataset': 'Bank'}
{'Ensemble': 0.5134334133452821, 'Selective Ensemble': 0.5450858899958014, 'Self-(in)consistency': 0.43276605966041487, 'Binomial NLL': 0.20178172177925008, 'dataset': 'Bank'}
{'Ensemble': 0.4753298940650646, 'Selective Ensemble': 0.4681442311822563, 'Self-(in)consistency': 0.3905603600782288, 'Binomial NLL': 0.1907153563716297, 'dataset': 'Bank'}
{'Ensemble': 0.49030507861888345, 'Selective Ensemble': 0.4905873277838059, 'Self-(in)consistency': 0.40392240382318223, 'Binomial NLL': 0.1960804920025639, 'dataset': 'Bank'}
{'Ensemble': 0.531340757595009, 'Selective Ensemble': 0.5440969195570836, 'Self-(in)consistency': 0.45642121668550134, 'Binomial NLL': 0.20351339196807666, 'dataset': 'Bank'}
